path,bytes,sha256,category
.gitignore.public_repo_template,441,064de119b48f867037cf3a44d017448b42b88fe2c382e43b67b20864511a494d,repository support file
CITATION.cff.template,1641,2d3d4548f3ed6103de3345fd2a5d69e7f7c2ccd2c8870105ab208a92bc6a45cd,public deposition metadata/template
CODE_RELEASE_README.md,4295,aaff8a8e3f05080cc86a5179ddee2ca7a7cb5810dababf760f50fbf1c85a7e02,public package README
deliverables/supplementary_tables_v1.xlsx,24133,efe4339510c40aa3153435d952139d06636d196c09c6f6e27452faf0a4ed6bb8,supplementary derived deliverable
docs/analysis_workflow.md,4381,224531165d71089919a2821126057eedb5bc2f1c732bff5cbc0a1ddf4e829640,reproducibility documentation
docs/public_repository_smoke_test_2026-07-19.md,1971,323ed07740af9f583715d9b029dd62130b1d0c0aad74c3da7db7d84f65b477a2,reproducibility documentation
docs/reproducibility_readme.md,8308,6070319759f1e2f841486d1459b1d76c718532c48662d8f3860964892b11900e,reproducibility documentation
docs/result_file_inventory.md,3438,b12cea398220a5db01d30ab7878393d1bccfbc5dc3911bea3f56553deec62bb4,reproducibility documentation
docs/source_references.md,3276,1f10358b78c1e6edb5f4a278204f727bbcbbbf4cc9b4f52a8d7881642826c28d,reproducibility documentation
LICENSE_DECISION_TEMPLATE.md,734,3b65ff8e4ca7477dbe814b323117eeeb9d0d9af1dcd035546876b4bc2cf3a602,public deposition metadata/template
MIT_LICENSE_TEMPLATE.txt,1126,725fb12784c33e080dffb8d5d45207681ab6a176c7c51d80b4eeeca38c0ec7d9,public deposition metadata/template
README.md,4295,aaff8a8e3f05080cc86a5179ddee2ca7a7cb5810dababf760f50fbf1c85a7e02,public package README
requirements_reproducibility.txt,164,75f2a17de1c4b29f3b65412d2e1d7782958f37a480523f0430c5f62b21a83567,software environment
results/bulk_validation/bulk_module_leave_one_gene_out_direction_audit.csv,14216,53c8bc2c4f7e59275ed18c1d317f2fe35c11a95566ab28f6f6b23c8d34b7e308,derived bulk-validation result
results/bulk_validation/bulk_module_score_sensitivity_summary.json,1336,78b0722daa066e1c6519d4883ee71f63f84441513f7568e90ea7f714c12e91bc,derived bulk-validation result
results/bulk_validation/bulk_module_zscore_sensitivity_stats.csv,2633,9c5a87bb1fe34277615d5829bbfd73f687fa6f2e35d8e767dcc48a147ce828f4,derived bulk-validation result
